kaggle_dataset_names,kaggle_dataset,gcs_path
cdeotte/melanoma-256x256,melanoma-256x256,gs://kds-f8af4bf2f6c765dbd327683a170e364332a1750658e910153e98d0d5
cdeotte/melanoma-384x384,melanoma-384x384,gs://kds-71b679af6661316328cfa122f5342b4a84fe0c7c1135d809fbee8ca4
cdeotte/melanoma-512x512,melanoma-512x512,gs://kds-458e4ec4a30e5d927b21efd0633fb2c0a091245fe8db3c415fde5da6
cdeotte/melanoma-768x768,melanoma-768x768,gs://kds-cfb16ed5f55adb5ab35a75a2fe74c3dc11a4b869dc8cfb3d9b1759e1
cdeotte/melanoma-csv-files,melanoma-csv-files,gs://kds-72856d4331480c95c98b7801b0bc5793fb3ecf9979c2ecad2fe8f5e5
shonenkov/bengal-5-fold,bengal-5-fold,gs://kds-b2a2934c4d3a8138ab13d2821d93217558f2ab6237b4d8f4d6d46159
shonenkov/bengalilabeltransforming,bengalilabeltransforming,gs://kds-b99b2a7febc3dc5af983e3f01f2fbfa359798b4c51ff88c91df70a01
shonenkov/bengaliresnet50d128x128kfold,bengaliresnet50d128x128kfold,gs://kds-c92f7e3124828f972eb24c42c84ff24125b50a265c91934c36281d7b
shonenkov/bowl2019publictest,bowl2019publictest,gs://kds-b2611e60ea0384a3093a0b5ebcab7bfc765e8ce9db28e33fcbecc20b
shonenkov/fasttext-300-russian-crawl-pickle,fasttext-300-russian-crawl-pickle,gs://kds-e6d3e41595df35203c38de126e7f4cdc8d316fe413bb1848f443d0cf
shonenkov/ghostnetbengali,ghostnetbengali,gs://kds-e9285c8f94ddf699fb2d7b753e52f48d7bd93f6f34e7c9b9e777a824
shonenkov/x5retailheroupliftrawdata,x5retailheroupliftrawdata,gs://kds-098f066e1946311726c760b787b159c8e0d8e4774b5464b4aa5825cd
shonenkov/alaska2-public-baseline,alaska2-public-baseline,gs://kds-804b98f214e9cc2ae7ae9b55b22b66499ac6de6dcf2c614eb529dd0d
shonenkov/birdcall-check,birdcall-check,gs://kds-abbc61e535ad5cfd7df456bdcd8dd73adb7b203fc06ca5d12ba44c50
shonenkov/dsbowl2019featurelake,dsbowl2019featurelake,gs://kds-76f1460746b1d6ddab9e585034155dd162bf8fe2b93285c2f54de32a
shonenkov/efficientdetpytorch,efficientdetpytorch,gs://kds-b1efc872faf90d9fe26fb1f9ba73bc322112bbc52e723befbb573c23
shonenkov/face-detector,face-detector,gs://kds-9382abf87a314a306463af887ab091343cb641670b01ea5d0ad9a152
shonenkov/isic2016,isic2016,gs://kds-9ac2f237a2b36731b4fb68f1722a8a6714c806a6f5a0e58cde87e0b1
shonenkov/isic2017,isic2017,gs://kds-be82ab74a014ea2500239b74636156ee51e28ba28b0b003f23930091
shonenkov/isic2018,isic2018,gs://kds-16e1fa1af57142180184800a5a23a0373ec0bbbce7ae45379b87aa4e
shonenkov/isic-resnext50d-32x4d-public-checkpoints,isic-resnext50d-32x4d-public-checkpoints,gs://kds-58bcd2f1c324481421e44a8aedc07721d94c257c1dc6808eb15579e8
shonenkov/jigsaw-public-baseline-results,jigsaw-public-baseline-results,gs://kds-f01f05aed19b8fc16de853fa563bb1f9663dd430568de84fd67aa3f8
