kaggle_dataset_names,gcs_path,kaggle_dataset
shonenkov/jigsaw-public-baseline-results,gs://kds-f01f05aed19b8fc16de853fa563bb1f9663dd430568de84fd67aa3f8,jigsaw-public-baseline-results
shonenkov/open-subtitles-toxic-pseudo-labeling,gs://kds-50424ab75b8ccd757f27a9cdbf87100cdddf424f9823b01823b8d384,open-subtitles-toxic-pseudo-labeling
shonenkov/jigsaw-public-baseline-train-data,gs://kds-4e0d249e5e268ee97aa83d66328bf9e1e0c0c0c9ce1777dfddabfd0b,jigsaw-public-baseline-train-data
shonenkov/wheat-effdet5-fold0-best-checkpoint,gs://kds-3db8dd3880d6e924e3d3cf93e2e3f43a28476964011f5e820274e279,wheat-effdet5-fold0-best-checkpoint
shonenkov/efficientdetpytorch,gs://kds-b1efc872faf90d9fe26fb1f9ba73bc322112bbc52e723befbb573c23,efficientdetpytorch
shonenkov/wheat-fasterrcnn-folds,gs://kds-ff174091c75894e7a3a2d466e401674c7cfb0a53ff38bb84a6fa55ec,wheat-fasterrcnn-folds
shonenkov/siimisic-melanoma-classification-npy-224-cv2,gs://kds-5b4d8bdc0b9eebfc283dc456e5983744b8682e9d5415739aab0414bf,siimisic-melanoma-classification-npy-224-cv2
shonenkov/isic2017,gs://kds-be82ab74a014ea2500239b74636156ee51e28ba28b0b003f23930091,isic2017
shonenkov/isic2018,gs://kds-16e1fa1af57142180184800a5a23a0373ec0bbbce7ae45379b87aa4e,isic2018
shonenkov/isic2016,gs://kds-9ac2f237a2b36731b4fb68f1722a8a6714c806a6f5a0e58cde87e0b1,isic2016
shonenkov/isic-resnext50d-32x4d-public-checkpoints,gs://kds-58bcd2f1c324481421e44a8aedc07721d94c257c1dc6808eb15579e8,isic-resnext50d-32x4d-public-checkpoints
shonenkov/weightedboxesfusion,gs://kds-bc90d65935377fcceee923ebb08238ffa44c1892fe386de4fcb5d497,weightedboxesfusion
shonenkov/melanoma-public-checkpoints,gs://kds-fe3ab955a6636e3ff04f940b484521a97668197a98ea562c7a188ae7,melanoma-public-checkpoints
shonenkov/melanoma-image-embeddings,gs://kds-64f1c794ebcffb7860dd91811eff547e63eb5827b2fa6eb22a455a26,melanoma-image-embeddings
shonenkov/melanoma-merged-external-data-512x512-jpeg,gs://kds-d755160b932a39260e10e74ab8795d927cf0e4bda39eef39f967a446,melanoma-merged-external-data-512x512-jpeg
shonenkov/alaska2-public-baseline,gs://kds-804b98f214e9cc2ae7ae9b55b22b66499ac6de6dcf2c614eb529dd0d,alaska2-public-baseline
shonenkov/birdcall-check,gs://kds-abbc61e535ad5cfd7df456bdcd8dd73adb7b203fc06ca5d12ba44c50,birdcall-check
tt195361/bengaliaicv19data,gs://kds-fba0c37be0dc2247f1e11832f5322ab7a32f7795d0fb63dd6598e4ce,bengaliaicv19data
tt195361/384x384-melanoma-tfrecords-70k-images,gs://kds-c35196094e7de516f860d80038a53ea11c51dffb267f29b9870f48bb,384x384-melanoma-tfrecords-70k-images
tt195361/768x768-melanoma-tfrecords-70k-images,gs://kds-dc98756859a0adb210d1553f077f3ff37d588710e2ec608afa8a7bca,768x768-melanoma-tfrecords-70k-images
tt195361/256x256-melanoma-tfrecords-70k-images,gs://kds-ce0e5cb3286425aec39eb8968efc26f7b463490a5403b20078499206,256x256-melanoma-tfrecords-70k-images
graf10a/factorial-hmm,gs://kds-3c7c7cdd650c915f25b2d1f77232c99e23c0432f7a07c7a32ab810a1,factorial-hmm
graf10a/siim-tfrec-1024-test,gs://kds-5dfcd258dbf45ca01b7ba58d3d9acd877947db06949b4eb8889ccd4a,siim-tfrec-1024-test
graf10a/siim-tfrec-768-test,gs://kds-fd802092dad24a3583c3bfc03dba6d2c989b07899a0a1005af0d7739,siim-tfrec-768-test
graf10a/siim-tfrec-224-test,gs://kds-2e253b5c97492d3442ccadf44ea3ad252db24d55d6c1d24e5597f0d3,siim-tfrec-224-test
graf10a/siim-tfrec-224-train,gs://kds-8d344e58166118525f170bd11d5b4260787c6d586b03213f2c8b0781,siim-tfrec-224-train
graf10a/siim-tfrec-256-test,gs://kds-6eb69dc618830e8ed0ffb4ad4c10befe269a6a9d30f4983a4d3a2ad2,siim-tfrec-256-test
graf10a/siim-tfrec-256-train,gs://kds-299f289d93cc4e5ab6b26a92e602f28d02590d86d86293a0ca3be926,siim-tfrec-256-train
graf10a/siim-tfrec-384-test,gs://kds-a1e073c0f75ac3e30a5f9f526aefbf1bb6bf7b35871f63b6e0ec9475,siim-tfrec-384-test
graf10a/siim-tfrec-384-train,gs://kds-31d1ba857c1b54b648d6d2ca244c086662f71948e7f14d81d91dfd79,siim-tfrec-384-train
graf10a/siim-tfrec-768-train-part-2,gs://kds-d85c80fc180ae4b4d1fca4ba4d769356a4859d577a211116484a713d,siim-tfrec-768-train-part-2
graf10a/siim-tfrec-768-train-part-1,gs://kds-6efcfadd7b90746c244beb264639d426c444a9831a247d9af0acb952,siim-tfrec-768-train-part-1
graf10a/siim-tfrec-1024-train-part-2,gs://kds-a98d7b54c0948fa9e98994be20e16cb155e6f750be489f8f4a02d707,siim-tfrec-1024-train-part-2
graf10a/siim-tfrec-1024-train-part-1,gs://kds-1ffc3243c99847b4019b02b267c80454102e7a493c947a7f46b2fc6d,siim-tfrec-1024-train-part-1
graf10a/siim-tfrec-1024-part-3,gs://kds-b09c72397075623a0610da5624c3afd6ad9a0807458262a72bbe11bd,siim-tfrec-1024-part-3
graf10a/isic-2019,gs://kds-f3c0af210570805156654013ea15b50acc7f32d0e81c0b2da7509f5f,isic-2019
graf10a/siim-512x512-tfrec-q95-test,gs://kds-4b4016d302d8240715c84c06a9beecaccacc1fcea5441af592798f99,siim-512x512-tfrec-q95-test
